Material,Descripción,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,"Mar del Plata, EL GAUCHITO",MAXI CARREFOUR,MAXICONSUMO,NINI,PLAZA VEA,VITAL,YAGUAR,Total general,Descripcion_Norm,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Ahorro_Pct,Ahorro_Abs
185589,Manteca LA SERENISIMA light x200grs,"3955,0","3959,0",,"3955,0",,,,"4250,0",,,,,,,"4150,0","3499,0",,"4003,3636363636365",MANTECA LA SERENISIMA LIGHT X200 GR,"3499,0","4150,0","3889,75",4,VITAL,"10,045632752747606","390,75"
185590,Queso un. LA SERENISIMA veg ched. x180gr,,,,,,,,,,,,,,,,"3045,0",,"3045,0",QUESO UN. LA SERENISIMA VEG CHED. X180GR,"3045,0","3045,0","3045,0",1,VITAL,"0,0","0,0"
185591,Queso un. LA SERENISIMA veg clas. x180gr,,,,,,,,,,,,,,,,"3045,0",,"3045,0",QUESO UN. LA SERENISIMA VEG CLAS. X180GR,"3045,0","3045,0","3045,0",1,VITAL,"0,0","0,0"
185592,Bebida lactea SENSE macchiato tb x200ml,,,,,,,,,,,,,,,,"1289,0",,"1289,0",BEBIDA LACTEA SENSE MA ML HIATO TB X200ML,"1289,0","1289,0","1289,0",1,VITAL,"0,0","0,0"
185593,Bebida lactea LS SENSE cappucc tb x200ml,,"1499,0",,"1499,0",,,,"1650,0",,,,,,,,"1305,0",,"1514,4285714285713",BEBIDA LACTEA LS SENSE CAPPU ML TB X200ML,"1305,0","1499,0","1402,0",2,VITAL,"6,9186875891583455","97,0"
185594,Bebida lactea SENSE caramel tb x200ml,,"1499,0",,"1499,0",,,,"1650,0",,,,,,,"1650,0","1305,0",,"1544,5555555555557",BEBIDA LACTEA SENSE CARAMEL TB X200ML,"1305,0","1650,0","1484,6666666666667",3,VITAL,"12,10148181409969","179,66666666666674"
185595,Queso untable FINLANDIA gruyere x180gr,"3329,0","3329,0",,"3329,0","3327,0","3352,3",,"3550,0",,,,,"2499,9",,"3500,0","2899,0","2890,0","3216,3894736842108",QUESO UNTABLE FINLANDIA GRUYERE X180GR,"2499,9","3500,0","3114,1714285714284",7,MAXICONSUMO,"19,725035781129574","614,2714285714283"
185596,Queso parmesano LA SERENISIMA pcion xkg,,,,,,,,,,,,,,,,"36165,0",,"36165,0",QUESO PARMESANO LA SERENISIMA PCION XKG,"36165,0","36165,0","36165,0",1,VITAL,"0,0","0,0"
185597,Medallon de carne SWIFT BURGER 12ux69g,"14379,0","14379,0",,"14379,0",,,,,,"13500,0",,,"9799,9",,,"11999,0",,"13072,65",MEDALLON DE CARNE SWIFT BURGER 12UX69G,"9799,9","14379,0","12811,380000000001",5,MAXICONSUMO,"23,5062889399893","3011,4800000000014"
185598,Medallon carne TRES CRUCES 2ux55gr,,,,,,,,,,,,,,,,"1165,0",,"1165,0",MEDALLON CARNE TRES CRUCES 2UX55GR,"1165,0","1165,0","1165,0",1,VITAL,"0,0","0,0"
185599,LICUADORA mondial 1000w negra,,,,,,,,,,,,,,,,"79999,0",,"79999,0",LICUADORA MONDIAL 1000W NEGRA,"79999,0","79999,0","79999,0",1,VITAL,"0,0","0,0"
185600,SANDWICHERA mondial practic grill,,,,,,,,,,,,,,,,"35999,0",,"35999,0",SANDWICHERA MONDIAL PRACTIC GRILL,"35999,0","35999,0","35999,0",1,VITAL,"0,0","0,0"
185603,ALIM. PERRO dog chow adul. peq. p/c x8kg,"27790,0",,,"27790,0",,,,"28000,0",,,,,,,"28000,0","25999,0","24705,0","27047,333333333332",ALIM. PERRO DOG CHOW ADUL. PEQ. P/C X8KG,"24705,0","28000,0","26856,8",5,YAGUAR,"8,012123559024156","2151,7999999999993"
185605,CALOVENTOR atma 2000w,,,,,,,,,,,,,,,,"42495,0",,"42495,0",CALOVENTOR ATMA 2000W,"42495,0","42495,0","42495,0",1,VITAL,"0,0","0,0"
185607,MICROONDAS kanjihome 23lt,,,,,,,,,,,,,,,,"104369,0",,"104369,0",MICROONDAS KANJIHOME 23LT,"104369,0","104369,0","104369,0",1,VITAL,"0,0","0,0"
185608,Antitr NIVEA MEN fresh roll-on x50ml,"2635,0","2639,0",,"2635,0","2690,0","1794,01",,"2800,0",,"1599,0",,"2240,0",,"2175,48",,"1789,0",,"2288,360909090909",ANTITR NIVEA MEN FRESH ROLL-ON X50ML,"1599,0","2635,0","2104,5816666666665",6,MAKRO,"24,022905581394237","505,5816666666665"
185609,Hamburguesa PATY clasico 60ux80gr,,,,,,,,,,"72800,0",,,,,,"70799,0",,"71799,5",HAMBURGUESA PATY CLASICO 60UX80GR,"70799,0","72800,0","71799,5",2,VITAL,"1,3934637427837242","1000,5"
185610,Arandanos GREEN LIFE doy pack x300gr,,"6109,0",,"6109,0",,,,"6450,0",,,,,,,"6400,0","5499,0",,"6113,4",ARANDANOS GREEN LIFE DOY PACK X300GR,"5499,0","6400,0","6002,666666666667",3,VITAL,"8,39071523767215","503,66666666666697"
185611,Frambuesas GREEN LIFE doy pack x400gr,,,,,,"12786,56",,,,"13600,0",,,,,"14300,0","12269,0",,"13238,89",FRAMBUESAS GREEN LIFE DOY PACK X400GR,"12269,0","14300,0","13238,89",4,VITAL,"7,326067366674997","969,8899999999994"
